fpr,tpr,thresholds,auc,ews
0.29130434782608694,0.7695652173913043,0.37919440296999996,0.8421361058601133,DL bif
0.29130434782608694,0.7739130434782608,0.3787306503,0.8421361058601133,DL bif
0.3173913043478261,0.7739130434782608,0.35763244435,0.8421361058601133,DL bif
0.3173913043478261,0.782608695652174,0.3525054999,0.8421361058601133,DL bif
0.3347826086956522,0.782608695652174,0.3429057336000001,0.8421361058601133,DL bif
0.3347826086956522,0.7869565217391304,0.33728986240000003,0.8421361058601133,DL bif
0.3521739130434783,0.7869565217391304,0.32898040370000003,0.8421361058601133,DL bif
0.3521739130434783,0.7956521739130434,0.3265503589,0.8421361058601133,DL bif
0.3565217391304348,0.7956521739130434,0.3259784085,0.8421361058601133,DL bif
0.3565217391304348,0.8043478260869565,0.31774876091000004,0.8421361058601133,DL bif
0.36086956521739133,0.8043478260869565,0.31146270605000004,0.8421361058601133,DL bif
0.36086956521739133,0.808695652173913,0.3070675235,0.8421361058601133,DL bif
0.3652173913043478,0.808695652173913,0.30500590945,0.8421361058601133,DL bif
0.3652173913043478,0.8130434782608695,0.30397164779999997,0.8421361058601133,DL bif
0.3695652173913043,0.8130434782608695,0.30021538020000005,0.8421361058601133,DL bif
0.3695652173913043,0.8173913043478261,0.29706087560000005,0.8421361058601133,DL bif
0.3739130434782609,0.8173913043478261,0.29517237,0.8421361058601133,DL bif
0.3739130434782609,0.8260869565217391,0.28537406665,0.8421361058601133,DL bif
0.391304347826087,0.8260869565217391,0.27674670462999995,0.8421361058601133,DL bif
0.391304347826087,0.8304347826086956,0.2744666721,0.8421361058601133,DL bif
0.4391304347826087,0.8304347826086956,0.24440657242999997,0.8421361058601133,DL bif
0.4391304347826087,0.8347826086956521,0.2426905968,0.8421361058601133,DL bif
0.45217391304347826,0.8347826086956521,0.2336208964,0.8421361058601133,DL bif
0.45217391304347826,0.8434782608695652,0.23266860954,0.8421361058601133,DL bif
0.47391304347826085,0.8434782608695652,0.2232255407,0.8421361058601133,DL bif
