fpr,tpr,thresholds,auc,ews,scale
0.39,0.31,0.2571428571428571,0.4965,Variance,0.8
0.4,0.31,0.2561660561660561,0.4965,Variance,0.8
0.4,0.32,0.2483516483516483,0.4965,Variance,0.8
0.42,0.32,0.2268620268620268,0.4965,Variance,0.8
0.42,0.34,0.219047619047619,0.4965,Variance,0.8
0.42,0.36,0.1736263736263736,0.4965,Variance,0.8
0.43,0.36,0.1706959706959707,0.4965,Variance,0.8
0.43,0.38,0.1448107448107448,0.4965,Variance,0.8
0.44,0.38,0.1252747252747252,0.4965,Variance,0.8
0.44,0.4,0.1145299145299145,0.4965,Variance,0.8
0.45,0.4,0.1028083028083028,0.4965,Variance,0.8
0.45,0.41,0.0979242979242979,0.4965,Variance,0.8
0.46,0.41,0.0676434676434676,0.4965,Variance,0.8
0.46,0.43,0.0305250305250305,0.4965,Variance,0.8
0.47,0.43,0.0246642246642246,0.4965,Variance,0.8
0.47,0.48,-0.0578754578754578,0.4965,Variance,0.8
0.48,0.48,-0.0705738705738705,0.4965,Variance,0.8
0.48,0.49,-0.1003663003663003,0.4965,Variance,0.8
0.49,0.49,-0.1013431013431013,0.4965,Variance,0.8
0.49,0.5,-0.1037851037851037,0.4965,Variance,0.8
0.53,0.5,-0.1272283272283272,0.4965,Variance,0.8
0.53,0.54,-0.1492063492063492,0.4965,Variance,0.8
0.54,0.54,-0.1496947496947497,0.4965,Variance,0.8
0.54,0.55,-0.1565323565323565,0.4965,Variance,0.8
0.58,0.55,-0.1873015873015872,0.4965,Variance,0.8
0.58,0.56,-0.1946275946275946,0.4965,Variance,0.8
0.59,0.56,-0.2112332112332112,0.4965,Variance,0.8
0.59,0.61,-0.2805860805860806,0.4965,Variance,0.8
0.6,0.62,-0.282051282051282,0.4965,Variance,0.8
0.6,0.65,-0.3045177045177045,0.4965,Variance,0.8
0.63,0.65,-0.3157509157509157,0.4965,Variance,0.8
0.63,0.68,-0.326984126984127,0.4965,Variance,0.8
0.64,0.68,-0.3352869352869352,0.4965,Variance,0.8
0.64,0.69,-0.3465201465201465,0.4965,Variance,0.8
0.65,0.69,-0.3509157509157509,0.4965,Variance,0.8
0.65,0.7,-0.3538461538461538,0.4965,Variance,0.8
0.66,0.7,-0.365079365079365,0.4965,Variance,0.8
0.66,0.71,-0.3738705738705738,0.4965,Variance,0.8
0.71,0.71,-0.4168498168498168,0.4965,Variance,0.8
0.71,0.74,-0.4568986568986569,0.4965,Variance,0.8
0.72,0.74,-0.4637362637362637,0.4965,Variance,0.8
0.72,0.76,-0.4803418803418803,0.4965,Variance,0.8
0.73,0.76,-0.4852258852258851,0.4965,Variance,0.8
0.73,0.77,-0.4871794871794871,0.4965,Variance,0.8
0.74,0.77,-0.5037851037851038,0.4965,Variance,0.8
0.74,0.8,-0.5330891330891331,0.4965,Variance,0.8
0.78,0.8,-0.5838827838827838,0.4965,Variance,0.8
0.78,0.83,-0.6126984126984126,0.4965,Variance,0.8
0.79,0.83,-0.6131868131868131,0.4965,Variance,0.8
0.79,0.84,-0.6175824175824175,0.4965,Variance,0.8
0.81,0.84,-0.6312576312576312,0.4965,Variance,0.8
0.81,0.85,-0.6405372405372405,0.4965,Variance,0.8
0.83,0.85,-0.6444444444444444,0.4965,Variance,0.8
0.83,0.87,-0.6527472527472528,0.4965,Variance,0.8
0.85,0.87,-0.6634920634920635,0.4965,Variance,0.8
0.85,0.88,-0.6644688644688644,0.4965,Variance,0.8
0.87,0.88,-0.6844932844932845,0.4965,Variance,0.8
0.87,0.91,-0.7094017094017093,0.4965,Variance,0.8
0.88,0.91,-0.7108669108669108,0.4965,Variance,0.8
0.88,0.95,-0.7245421245421245,0.4965,Variance,0.8
0.95,0.95,-0.7670329670329671,0.4965,Variance,0.8
0.95,0.97,-0.787057387057387,0.4965,Variance,0.8
0.97,0.97,-0.8173382173382173,0.4965,Variance,0.8
0.97,0.98,-0.8246642246642246,0.4965,Variance,0.8
0.99,0.98,-0.8398046398046397,0.4965,Variance,0.8
0.99,1.0,-0.8417582417582417,0.4965,Variance,0.8
1.0,1.0,-0.8485958485958486,0.4965,Variance,0.8
0.0,0.0,inf,0.9667500000000001,Lag-1 AC,0.8
0.0,0.01,0.95018315018315,0.9667500000000001,Lag-1 AC,0.8
0.0,0.11,0.9155067155067156,0.9667500000000001,Lag-1 AC,0.8
0.0,0.13,0.913064713064713,0.9667500000000001,Lag-1 AC,0.8
0.0,0.34,0.8554334554334554,0.9667500000000001,Lag-1 AC,0.8
0.0,0.36,0.8544566544566544,0.9667500000000001,Lag-1 AC,0.8
0.0,0.42,0.8344322344322344,0.9667500000000001,Lag-1 AC,0.8
0.0,0.44,0.8295482295482295,0.9667500000000001,Lag-1 AC,0.8
0.0,0.46,0.8285714285714285,0.9667500000000001,Lag-1 AC,0.8
0.0,0.48,0.8246642246642246,0.9667500000000001,Lag-1 AC,0.8
0.0,0.49,0.8222222222222222,0.9667500000000001,Lag-1 AC,0.8
0.0,0.51,0.8188034188034188,0.9667500000000001,Lag-1 AC,0.8
0.0,0.54,0.8085470085470086,0.9667500000000001,Lag-1 AC,0.8
0.01,0.54,0.7987789987789987,0.9667500000000001,Lag-1 AC,0.8
0.01,0.6,0.7782661782661783,0.9667500000000001,Lag-1 AC,0.8
